index,TSNE1,TSNE2
0,-407.56454,339.2396
1,-384.68793,-183.29274
2,-436.8652,-135.0101
3,-379.522,-91.93996
4,-499.6145,175.64871
5,-382.25012,12.706356
6,-419.00446,61.35752
7,-378.9121,161.71141
8,-512.26215,100.366264
9,-430.7526,258.18344
10,-334.01233,90.51774
11,267.24673,-281.26385
12,173.66432,-64.91026
13,130.78516,-144.95848
14,470.62308,-3.4111073
15,201.86208,-127.92644
16,425.44434,-73.335106
17,396.22275,-12.437777
18,294.46048,147.98483
19,282.66583,-211.86818
20,338.54355,98.64916
21,343.91025,-88.59765
22,71.316605,-0.6981049
