index,TSNE1,TSNE2,Cluster
0,-407.56454,339.2396,0
1,-384.68793,-183.29274,0
2,-436.8652,-135.0101,0
3,-379.522,-91.93996,0
4,-499.6145,175.64871,0
5,-382.25012,12.706356,0
6,-419.00446,61.35752,0
7,-378.9121,161.71141,0
8,-512.26215,100.366264,0
9,-430.7526,258.18344,0
10,-334.01233,90.51774,0
11,267.24673,-281.26385,1
12,173.66432,-64.91026,1
13,130.78516,-144.95848,1
14,470.62308,-3.4111073,1
15,201.86208,-127.92644,1
16,425.44434,-73.335106,1
17,396.22275,-12.437777,1
18,294.46048,147.98483,1
19,282.66583,-211.86818,1
20,338.54355,98.64916,1
21,343.91025,-88.59765,1
22,71.316605,-0.6981049,1
