index,UMAP1,UMAP2,Cluster
0,-3.840664,3.2778895,0
1,-4.5714674,1.17359,0
2,-4.9641232,1.4297044,0
3,-5.2870054,1.8091662,0
4,-4.0435386,2.536739,0
5,-4.219683,1.8511076,0
6,-5.2240944,2.55765,0
7,-4.606173,2.9824216,0
8,-4.78615,2.378936,0
9,-4.1363807,2.9746294,0
10,-5.260582,3.1352677,0
11,-1.6690674,0.26995778,1
12,-2.4245193,0.67285645,1
13,-2.7793598,0.2944349,1
14,-3.7873049,-0.22999725,1
15,-2.4424875,-0.16090271,1
16,-2.875169,-0.75095975,1
17,-3.60425,-0.8132758,1
18,-3.3093832,0.36816964,1
19,-1.903539,-0.3450547,1
20,-3.174702,-0.2525898,1
21,-3.0660932,-1.2716634,1
22,-3.1708841,1.4360988,1
